iter	MultiClassOneVsAll
0	-0.6709376306
1	-0.6494350697
2	-0.6293109932
3	-0.6104461889
4	-0.5925850441
5	-0.5756552687
6	-0.5596135444
7	-0.5442128749
8	-0.5296131683
9	-0.5155566716
10	-0.5023044861
11	-0.4897557361
12	-0.4777829686
13	-0.4663092452
14	-0.4552259025
15	-0.4447497785
16	-0.4347554553
17	-0.4250594506
18	-0.4158287045
19	-0.4070492891
20	-0.3986130659
21	-0.3904299815
22	-0.3826786223
23	-0.3751920527
24	-0.3679840903
25	-0.361080405
26	-0.3544183694
27	-0.3480466987
28	-0.3418005599
29	-0.3359087562
30	-0.3301348235
31	-0.3246042292
32	-0.3192465002
33	-0.3141634274
34	-0.3091803839
35	-0.3045274142
36	-0.2999892624
37	-0.2955422141
38	-0.2913880924
39	-0.2873327075
40	-0.2833444493
41	-0.279618381
42	-0.2759020962
43	-0.2723375597
44	-0.2689190883
45	-0.2655789806
46	-0.2623641702
47	-0.2593559718
48	-0.2563934223
49	-0.2534954498
50	-0.2506514349
51	-0.248027975
52	-0.2454877556
53	-0.2430305206
54	-0.2405781786
55	-0.2382350502
56	-0.2359844584
57	-0.233838737
58	-0.2317552727
59	-0.2296445072
60	-0.2276694814
61	-0.2257465466
62	-0.223889691
63	-0.2220825871
64	-0.2203355397
65	-0.2185208469
66	-0.2169406454
67	-0.2153400943
68	-0.2138196108
69	-0.212373074
70	-0.210865474
71	-0.2095133928
72	-0.2082115554
73	-0.2069154433
74	-0.2056519544
75	-0.2044450915
76	-0.2032653931
77	-0.2020884154
78	-0.2010029665
79	-0.1999588722
80	-0.1989271565
81	-0.197965803
82	-0.1967391458
83	-0.1958066281
84	-0.1948685053
85	-0.1940040773
86	-0.1930158229
87	-0.1921270466
88	-0.1912631413
89	-0.1904562729
90	-0.1896506221
91	-0.1889161749
92	-0.1882293381
93	-0.1874780545
94	-0.1867708304
95	-0.185883873
96	-0.1852091544
97	-0.1846015863
98	-0.1839390655
99	-0.183369276
100	-0.1828385656
101	-0.1822145897
102	-0.1816932384
103	-0.1811841804
104	-0.1806679654
105	-0.1802033235
106	-0.1797402983
107	-0.1792975255
108	-0.178760359
109	-0.1782409806
110	-0.1775820409
111	-0.1770711361
112	-0.1766873428
113	-0.1763136036
114	-0.1756456173
115	-0.1753106267
116	-0.1749080639
117	-0.1745772102
118	-0.1740303255
119	-0.1737192135
120	-0.173391703
121	-0.1731176694
122	-0.1726175858
123	-0.172232276
124	-0.1718670112
125	-0.1716107663
126	-0.1713031178
127	-0.1710516018
128	-0.1708155096
129	-0.1705899589
130	-0.1703497313
131	-0.1699129553
132	-0.1696440061
133	-0.1693626019
134	-0.1690703286
135	-0.1686908906
136	-0.168309127
137	-0.1680503298
138	-0.1678456538
139	-0.1675841043
140	-0.1674156192
141	-0.1671872657
142	-0.1668885016
143	-0.166526124
144	-0.1662886474
145	-0.1659540345
146	-0.1657332048
147	-0.1655653058
148	-0.1654081869
149	-0.1650883361
150	-0.1647894393
151	-0.1646261965
152	-0.1644091149
153	-0.1642530069
154	-0.1641314469
155	-0.1638688913
156	-0.1637182308
157	-0.1634692802
158	-0.1630742358
159	-0.1628889026
160	-0.1627136735
161	-0.1625296948
162	-0.162434275
163	-0.1623427537
164	-0.162205825
165	-0.1621240228
166	-0.1620009308
167	-0.1618854687
168	-0.1616370705
169	-0.161306274
170	-0.1612309471
171	-0.1610765413
172	-0.1609732069
173	-0.1608990682
174	-0.160830635
175	-0.160714602
176	-0.1605825463
177	-0.1604890534
178	-0.1602618016
179	-0.1601940078
180	-0.1600821615
181	-0.1599942788
182	-0.1598865217
183	-0.1598150509
184	-0.1597644963
185	-0.1596119073
186	-0.159559277
187	-0.1594929981
188	-0.1592038905
189	-0.159153875
190	-0.1589995486
191	-0.1588372442
192	-0.1585654286
193	-0.1585046737
194	-0.1582440686
195	-0.1581938102
196	-0.1581019748
197	-0.1578378139
198	-0.1577947867
199	-0.1576114342
200	-0.1574385229
201	-0.1573521203
202	-0.1571232921
203	-0.1569674906
204	-0.1569296672
205	-0.1568343816
206	-0.1567951524
207	-0.1567644753
208	-0.1565789674
209	-0.1564905728
210	-0.1563451353
211	-0.1562976809
212	-0.1562169801
213	-0.1560776161
214	-0.1560207831
215	-0.1558546496
216	-0.1557012925
217	-0.155481651
218	-0.1553762131
219	-0.1552257107
220	-0.1551891713
221	-0.1551102258
222	-0.1549065115
223	-0.1548637056
224	-0.1547490176
225	-0.1546638425
226	-0.1545291248
227	-0.1544254247
228	-0.1543043299
229	-0.1541091592
230	-0.1539675778
231	-0.1538640593
232	-0.1538183326
233	-0.1536460818
234	-0.153481598
235	-0.1534614501
236	-0.1533303499
237	-0.1532031826
238	-0.1530824926
239	-0.1529631935
240	-0.152848081
241	-0.152746356
242	-0.1526741905
243	-0.152564166
244	-0.1524575328
245	-0.1523040854
246	-0.1522502662
247	-0.1522072631
248	-0.1520993105
249	-0.1520109368
250	-0.151921914
251	-0.1518510157
252	-0.1518343444
253	-0.1517223572
254	-0.1517117053
255	-0.1516028696
256	-0.1515660737
257	-0.1514727469
258	-0.1514012371
259	-0.1513822811
260	-0.1513110942
261	-0.1512094793
262	-0.1511244037
263	-0.1511156075
264	-0.1510103401
265	-0.1508627497
266	-0.1507790392
267	-0.1507323997
268	-0.1507074822
269	-0.1506110529
270	-0.1505656076
271	-0.1504675174
272	-0.1503253032
273	-0.1502953356
274	-0.1502000856
275	-0.1501092504
276	-0.1500238136
277	-0.1499783782
278	-0.1498877606
279	-0.1498639534
280	-0.1497682997
281	-0.1496760322
282	-0.1495948562
283	-0.1494587179
284	-0.1494473756
285	-0.1493593422
286	-0.1492825114
287	-0.1492616186
288	-0.1491323973
289	-0.1490499623
290	-0.1489224888
291	-0.1488953672
292	-0.1488162151
293	-0.1487389336
294	-0.1486512026
295	-0.1485716954
296	-0.1484500174
297	-0.1483597405
298	-0.1483358876
299	-0.1482742433
300	-0.1482539225
301	-0.1481774452
302	-0.1481483457
303	-0.1480652824
304	-0.1479550158
305	-0.1478912492
306	-0.1478245862
307	-0.1477778639
308	-0.1477257774
309	-0.1476588299
310	-0.1475884621
311	-0.1475561364
312	-0.1474683821
313	-0.14743486
314	-0.1473606313
315	-0.1473185817
316	-0.1473139678
317	-0.1472383931
318	-0.1472261775
319	-0.1471229787
320	-0.1470220174
321	-0.1470106862
322	-0.1469514248
323	-0.1468868432
324	-0.1468563695
325	-0.1468299723
326	-0.1467511603
327	-0.146656832
328	-0.1465899744
329	-0.1464949122
330	-0.1464089216
331	-0.1463222689
332	-0.1462753863
333	-0.1462218194
334	-0.1461389358
335	-0.1460716854
336	-0.1460113549
337	-0.1459775246
338	-0.1459038797
339	-0.1458371581
340	-0.1457808263
341	-0.1457230281
342	-0.1456518573
343	-0.1455922163
344	-0.1455339963
345	-0.1454676366
346	-0.1453951546
347	-0.1453529852
348	-0.1452893351
349	-0.145233244
350	-0.145179572
351	-0.1451092748
352	-0.1450398841
353	-0.1449796176
354	-0.1449118242
355	-0.144871761
356	-0.1448193361
357	-0.1447580907
358	-0.1447370474
359	-0.144664869
360	-0.1445935457
361	-0.1445262169
362	-0.1444598758
363	-0.144386827
364	-0.1443694904
365	-0.1443115204
366	-0.1442495418
367	-0.1442064087
368	-0.1441584008
369	-0.1441140086
370	-0.1440634461
371	-0.1440065461
372	-0.1439521309
373	-0.1439002395
374	-0.1438660529
375	-0.1438109023
376	-0.1437612286
377	-0.1437104134
378	-0.1436575869
379	-0.1436076844
380	-0.1435645032
381	-0.1435442579
382	-0.1434937013
383	-0.1434576208
384	-0.1434091333
385	-0.143366078
386	-0.1433185904
387	-0.1432740961
388	-0.1432333297
389	-0.1431896712
390	-0.1431453299
391	-0.1430979442
392	-0.143069602
393	-0.1430289636
394	-0.1429771488
395	-0.1429422915
396	-0.1429032958
397	-0.1428668628
398	-0.1428390902
399	-0.1427944859
400	-0.142757173
401	-0.1427128425
402	-0.1426751883
403	-0.1426355492
404	-0.1425967921
405	-0.142560837
406	-0.1425215863
407	-0.142476895
408	-0.1424282863
409	-0.1423930595
410	-0.1423576387
411	-0.1423073308
412	-0.1422858032
413	-0.1422558422
414	-0.1422186996
415	-0.14218423
416	-0.1421417595
417	-0.1421072675
418	-0.1420861682
419	-0.1420238648
420	-0.1419908815
421	-0.1419809954
422	-0.1419183679
423	-0.14188773
424	-0.1418601036
425	-0.1417988934
426	-0.1417093206
427	-0.1416483267
428	-0.1416012657
429	-0.1415556851
430	-0.1414858719
431	-0.1414570795
432	-0.141423744
433	-0.1413846047
434	-0.141351134
435	-0.1413221938
436	-0.1412661685
