iter	Passed	Remaining
0	65	65026
1	115	57750
2	182	60635
3	249	62059
4	317	63236
5	384	63668
6	450	63836
7	519	64372
8	594	65418
9	649	64303
10	723	65023
11	806	66433
12	901	68475
13	966	68046
14	1029	67624
15	1093	67245
16	1156	66886
17	1219	66542
18	1289	66566
19	1354	66382
20	1419	66193
21	1486	66063
22	1551	65888
23	1615	65680
24	1681	65594
25	1750	65565
26	1818	65536
27	1900	65976
28	1968	65920
29	2041	66014
30	2093	65451
31	2151	65096
32	2234	65464
33	2301	65389
34	2352	64866
35	2434	65191
36	2503	65160
37	2566	64964
38	2629	64797
39	2716	65195
40	2777	64971
41	2853	65092
42	2917	64923
43	2979	64746
44	3054	64833
45	3107	64440
46	3193	64747
47	3260	64671
48	3327	64582
49	3381	64242
50	3445	64116
51	3510	63993
52	3577	63924
53	3641	63789
54	3686	63346
55	3745	63140
56	3814	63111
57	3887	63132
58	3957	63118
59	4027	63103
60	4106	63208
61	4163	62993
62	4233	62970
63	4303	62938
64	4355	62652
65	4423	62604
66	4489	62522
67	4553	62415
68	4607	62168
69	4671	62059
70	4740	62023
71	4804	61918
72	4869	61832
73	4922	61600
74	4986	61495
75	5040	61285
76	5105	61194
77	5171	61126
78	5234	61024
79	5298	60936
80	5348	60685
81	5415	60623
82	5481	60560
83	5536	60374
84	5592	60206
85	5656	60119
86	5720	60033
87	5790	60010
88	5854	59923
89	5929	59954
90	5993	59865
91	6056	59773
92	6113	59618
93	6176	59529
94	6244	59485
95	6311	59434
96	6374	59345
97	6439	59265
98	6503	59187
99	6569	59126
100	6633	59045
101	6701	58995
102	6768	58944
103	6834	58882
104	6898	58801
105	6961	58713
106	7013	58532
107	7081	58486
108	7144	58402
109	7208	58325
110	7278	58290
111	7344	58231
112	7395	58047
113	7445	57868
114	7509	57790
115	7573	57715
116	7637	57643
117	7692	57497
118	7758	57440
119	7807	57253
120	7871	57183
121	7935	57107
122	7999	57035
123	8064	56974
124	8129	56909
125	8198	56865
126	8265	56816
127	8331	56758
128	8384	56611
129	8442	56499
130	8508	56440
131	8575	56389
132	8638	56315
133	8702	56241
134	8770	56193
135	8836	56135
136	8899	56061
137	8965	56001
138	9029	55928
139	9093	55859
140	9151	55751
141	9215	55681
142	9287	55661
143	9353	55600
144	9417	55529
145	9484	55479
146	9549	55413
147	9611	55332
148	9676	55264
149	9740	55193
150	9808	55150
151	9873	55082
152	9940	55027
153	10002	54949
154	10067	54882
155	10130	54811
156	10195	54744
157	10263	54696
158	10337	54680
159	10405	54629
160	10470	54561
161	10534	54490
162	10586	54361
163	10641	54247
164	10705	54173
165	10765	54087
166	10832	54031
167	10897	53966
168	10963	53907
169	11028	53843
170	11086	53745
171	11148	53669
172	11212	53601
173	11276	53529
174	11340	53460
175	11407	53406
176	11475	53357
177	11540	53292
178	11603	53221
179	11667	53152
180	11734	53096
181	11802	53046
182	11866	52978
183	11934	52927
184	11984	52796
185	12049	52731
186	12107	52636
187	12172	52576
188	12239	52517
189	12289	52391
190	12354	52329
191	12420	52269
192	12484	52200
193	12538	52092
194	12602	52027
195	12671	51979
196	12738	51923
197	12805	51869
198	12865	51787
199	12931	51726
200	12996	51662
201	13063	51605
202	13127	51539
203	13189	51466
204	13260	51424
205	13330	51381
206	13386	51282
207	13437	51166
208	13502	51103
209	13567	51039
210	13632	50977
211	13698	50915
212	13766	50863
213	13838	50826
214	13902	50761
215	13971	50709
216	14034	50640
217	14098	50572
218	14162	50507
219	14233	50462
220	14298	50401
221	14365	50342
222	14445	50332
223	14516	50289
224	14582	50228
225	14647	50163
226	14711	50097
227	14780	50046
228	14846	49986
229	14912	49924
230	14977	49858
231	15039	49786
232	15103	49717
233	15166	49648
234	15234	49592
235	15290	49499
236	15355	49437
237	15423	49381
238	15487	49312
239	15553	49251
240	15617	49184
241	15680	49114
242	15745	49051
243	15813	48994
244	15878	48933
245	15942	48863
246	16005	48795
247	16069	48727
248	16135	48664
249	16203	48609
250	16271	48555
251	16339	48498
252	16388	48387
253	16455	48331
254	16508	48230
255	16572	48163
256	16636	48097
257	16702	48035
258	16770	47979
259	16834	47912
260	16899	47848
261	16963	47781
262	17028	47717
263	17074	47600
264	17137	47532
265	17201	47464
266	17268	47408
267	17335	47347
268	17399	47281
269	17463	47215
270	17528	47152
271	17592	47085
272	17656	47018
273	17722	46956
274	17790	46902
275	17862	46855
276	17927	46793
277	17991	46725
278	18055	46660
279	18108	46565
280	18172	46498
281	18237	46435
282	18304	46376
283	18370	46315
284	18425	46224
285	18489	46159
286	18553	46093
287	18618	46028
288	18683	45965
289	18750	45906
290	18817	45846
291	18881	45782
292	18945	45714
293	19008	45645
294	19071	45578
295	19136	45514
296	19201	45448
297	19271	45397
298	19336	45334
299	19401	45269
300	19458	45187
301	19522	45121
302	19587	45058
303	19651	44992
304	19719	44934
305	19786	44875
306	19852	44812
307	19914	44742
308	19979	44678
309	20045	44616
310	20109	44552
311	20174	44486
312	20241	44427
313	20319	44392
314	20388	44336
315	20451	44269
316	20504	44178
317	20568	44112
318	20625	44030
319	20688	43962
320	20756	43905
321	20811	43820
322	20875	43755
323	20941	43692
324	21006	43628
325	21070	43563
326	21134	43496
327	21200	43435
328	21267	43376
329	21335	43317
330	21400	43252
331	21463	43185
332	21527	43119
333	21593	43056
334	21657	42991
335	21725	42933
336	21790	42870
337	21854	42804
338	21919	42739
339	21982	42672
340	22046	42605
341	22109	42538
342	22173	42471
343	22239	42410
344	22307	42352
345	22374	42291
346	22437	42223
347	22500	42156
348	22564	42089
349	22628	42023
350	22699	41972
351	22767	41913
352	22835	41853
353	22899	41787
354	22962	41720
355	23026	41654
356	23087	41583
357	23150	41516
358	23216	41453
359	23283	41393
360	23348	41329
361	23413	41264
362	23477	41198
363	23542	41134
364	23606	41069
365	23672	41006
366	23741	40950
367	23807	40886
368	23882	40839
369	23959	40796
370	24028	40737
371	24092	40671
372	24157	40607
373	24236	40566
374	24302	40503
375	24367	40439
376	24432	40374
377	24499	40314
378	24566	40252
379	24629	40185
380	24695	40121
381	24759	40055
382	24822	39987
383	24886	39921
384	24949	39854
385	25014	39790
386	25077	39722
387	25141	39656
388	25207	39593
389	25284	39546
390	25350	39484
391	25414	39419
392	25480	39354
393	25545	39291
394	25610	39225
395	25675	39162
396	25746	39106
397	25811	39041
398	25875	38975
399	25938	38907
400	26001	38840
401	26066	38775
402	26131	38710
403	26199	38650
404	26265	38588
405	26331	38524
406	26397	38461
407	26462	38397
408	26527	38331
409	26593	38268
410	26656	38201
411	26726	38144
412	26792	38080
413	26857	38015
414	26920	37947
415	26983	37881
416	27046	37813
417	27110	37747
418	27174	37680
419	27242	37621
420	27308	37557
421	27361	37476
422	27435	37423
423	27499	37357
424	27566	37296
425	27632	37232
426	27696	37166
427	27764	37105
428	27827	37038
429	27891	36972
430	27955	36906
431	28019	36839
